tower,name,tile,start_date,end_date,latitude,longitude
US-HBK,Hubbard Brook Experimental Forest,18TYP,2018-10-01,2022-08-30,43.9397,-71.7181
US-xUK,NEON The University of Kansas Field Station (UKFS),15SUD,2018-10-01,2022-12-01,39.0404,-95.1921
US-HB3,Hobcaw Barony Longleaf Pine Restoration,17SPS,2019-01-01,2023-01-01,33.3482,-79.2322
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",15TYJ,2018-10-01,2023-01-01,43.3448,-89.7117
US-xNG,NEON Northern Great Plains Research Laboratory (NOGP),14TLS,2018-10-01,2022-12-01,46.7697,-100.9154
US-PFb,NW1 Pine-1 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.972,-90.3232
US-xDS,NEON Disney Wilderness Preserve (DSNY),17RMM,2018-10-01,2022-12-01,28.125,-81.4362
US-Rls,RCEW Low Sagebrush,11TNH,2018-10-01,2022-10-01,43.1439,-116.7356
US-xHA,NEON Harvard Forest (HARV),18TYN,2018-10-01,2022-12-01,42.5369,-72.1727
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),15TYM,2018-10-01,2022-11-30,46.2339,-89.5373
PE-QFR,Quistococha Forest Reserve,18MXA,2018-10-01,2020-01-01,-3.8344,-73.319
US-Mi1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,17TNG,2018-10-01,2019-12-29,41.7727,-80.6313
US-xGR,"NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)",17SKV,2018-10-01,2022-12-01,35.689,-83.5019
US-xJR,NEON Jornada LTER (JORN),13SCS,2018-10-01,2022-12-01,32.5907,-106.8425
US-Ro4,Rosemount Prairie,15TVK,2018-10-01,2024-01-01,44.6781,-93.0723
US-EDN,Eden Landing Ecological Reserve,10SEG,2018-10-01,2019-11-08,37.6156,-122.114
US-Ha2,Harvard Forest Hemlock Site,18TYN,2018-10-01,2023-10-01,42.5393,-72.1779
US-PAS,"Florida, Paspalum notatum pasture",17RML,2021-01-01,2023-01-01,27.3944,-81.951
US-TrB,Trout Bog,15TYM,2020-01-01,2020-11-01,46.0412,-89.6862
US-PFg,NE1 Pine-2 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9735,-90.2723
US-Ho2,Howland Forest (west tower),19TEL,2018-10-01,2024-01-01,45.2091,-68.747
US-xMB,NEON Moab (MOAB),12SXH,2018-10-01,2022-12-01,38.2483,-109.3883
US-HB2,Hobcaw Barony Mature Longleaf Pine,17SPS,2019-01-01,2020-01-01,33.3242,-79.244
US-xDL,NEON Dead Lake (DELA),16SDB,2018-10-01,2022-12-01,32.5417,-87.8039
US-xSL,"NEON North Sterling, CO (STER)",13TFE,2018-10-01,2022-12-01,40.4619,-103.0293
US-xSR,NEON Santa Rita Experimental Range (SRER),12SWA,2018-10-01,2022-12-01,31.9107,-110.8355
US-xKZ,NEON Konza Prairie Biological Station (KONZ),14SQJ,2018-10-01,2022-12-01,39.1008,-96.5631
US-Bar,Bartlett Experimental Forest,19TCJ,2018-10-01,2023-01-01,44.0646,-71.2881
US-PFc,NW2 Aspen-1 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9677,-90.3088
US-Wkg,Walnut Gulch Kendall Grasslands,12SWA,2018-10-01,2024-01-01,31.7365,-109.9419
US-UMd,UMBS Disturbance,16TFR,2018-10-01,2023-10-14,45.5625,-84.6975
US-xKA,NEON Konza Prairie Biological Station - Relocatable (KONA),14SQJ,2018-10-01,2022-12-01,39.1104,-96.6129
US-Jo2,Jornada Experimental Range Mixed Shrubland,13SCS,2018-10-01,2021-01-01,32.5849,-106.6032
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",17TNK,2018-10-01,2021-01-01,44.3167,-79.9333
US-Seg,Sevilleta grassland,13SCU,2018-10-01,2024-01-01,34.3623,-106.7019
US-MtB,Mt Bigelow,12SWA,2018-10-01,2022-01-01,32.4167,-110.7255
US-SRG,Santa Rita Grassland,12SWA,2018-10-01,2024-01-01,31.7894,-110.8277
US-Ho1,Howland Forest (main tower),19TEL,2018-10-01,2024-01-01,45.2041,-68.7402
US-xPU,NEON Pu'u Maka'ala Natural Area Reserve (PUUM),05QKB,2019-01-01,2022-12-01,19.5531,-155.3173
US-CS5,Central Sands Irrigated Agricultural Field,15TYJ,2021-01-01,2022-01-01,44.1095,-89.5377
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,17RLN,2018-10-01,2021-01-01,29.7381,-82.2188
US-Mpj,Mountainair Pinyon-Juniper Woodland,13SCU,2018-10-01,2024-01-01,34.4384,-106.2377
US-xTE,NEON Lower Teakettle (TEAK),11SLB,2018-10-01,2022-12-01,37.0058,-119.006
US-ONA,Florida pine flatwoods,17RML,2018-10-01,2022-01-01,27.3836,-81.9509
US-xYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),12TWQ,2018-10-01,2022-12-01,44.9535,-110.5391
US-Mi3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,17TNG,2018-10-01,2019-12-28,41.8222,-80.637
US-Los,Lost Creek,15TYM,2018-10-01,2024-03-11,46.0827,-89.9792
US-xBL,NEON Blandy Experimental Farm (BLAN),17SQD,2018-10-01,2022-12-01,39.0603,-78.0716
US-Jo1,Jornada Experimental Range Bajada Site,13SCS,2018-10-01,2021-01-01,32.582,-106.635
US-xWD,NEON Woodworth (WOOD),14TMT,2018-10-01,2022-12-01,47.1282,-99.2414
US-xSJ,NEON San Joaquin Experimental Range (SJER),11SKB,2018-10-01,2022-12-01,37.1088,-119.7323
US-xST,NEON Steigerwaldt Land Services (STEI),15TYL,2018-10-01,2022-12-01,45.5089,-89.5864
US-Rwf,RCEW Upper Sheep Prescibed Fire,11TNH,2018-10-01,2022-10-01,43.1207,-116.7231
US-xBR,NEON Bartlett Experimental Forest (BART),19TCJ,2018-10-01,2022-12-01,44.0639,-71.2873
US-UMB,Univ. of Mich. Biological Station,16TFR,2018-10-01,2023-10-14,45.5598,-84.7138
US-Wjs,Willard Juniper Savannah,13SDU,2018-10-01,2024-01-01,34.4255,-105.8615
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,15TYM,2019-01-01,2019-11-01,45.9793,-90.3004
PR-xLA,NEON Lajas Experimental Station (LAJA),19QFV,2018-10-01,2022-12-01,18.0212,-67.0769
US-xSP,NEON Soaproot Saddle (SOAP),11SKB,2018-10-01,2022-12-01,37.0334,-119.2622
US-KS3,Kennedy Space Center (salt marsh),17RNM,2018-10-01,2019-04-01,28.7084,-80.7427
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9689,-90.301
US-xTA,NEON Talladega National Forest (TALL),16SDB,2018-10-01,2022-12-01,32.9505,-87.3933
MX-PMm,Puerto Morelos mangrove,16QEJ,2018-10-01,2018-12-01,20.8462,-86.8992
US-NC4,NC_AlligatorRiver,18SVE,2018-10-01,2022-01-01,35.7879,-75.9038
US-xSB,NEON Ordway-Swisher Biological Station (OSBS),17RLN,2018-10-01,2022-12-01,29.6893,-81.9934
US-PFs,SE5 Aspen-5 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9381,-90.2382
US-xML,NEON Mountain Lake Biological Station (MLBS),17SNB,2018-10-01,2022-12-01,37.3783,-80.5248
PR-xGU,NEON Guanica Forest (GUAN),19QGV,2018-10-01,2022-12-01,17.9696,-66.8687
US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9207,-90.3099
US-MMS,Morgan Monroe State Forest,16SEJ,2018-10-01,2023-10-24,39.3232,-86.4131
US-xRN,NEON Oak Ridge National Lab (ORNL),16SGE,2018-10-01,2022-12-01,35.9641,-84.2826
US-CC2,Coloma Corn 2,15TYJ,2021-01-01,2022-01-01,44.1039,-89.6196
US-Whs,Walnut Gulch Lucky Hills Shrub,12SWA,2018-10-01,2024-01-01,31.7438,-110.0522
US-xWR,NEON Wind River Experimental Forest (WREF),10TER,2018-10-01,2022-12-01,45.8205,-121.9519
US-Vcp,Valles Caldera Ponderosa Pine,13SCV,2018-10-01,2024-01-01,35.8624,-106.5974
US-Act,Acton Lake Flux Tower Site,16SFJ,2018-10-01,2018-11-13,39.582,-84.758
US-TrS,Trout Lake Area South Sparkling Bog,15TYM,2020-01-01,2020-11-01,46.0034,-89.7053
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9557,-90.2406
US-xAE,NEON Klemme Range Research Station (OAES),14SME,2018-10-01,2022-12-01,35.4106,-99.0588
US-Me2,Metolius mature ponderosa pine,10TFQ,2018-10-01,2023-03-21,44.4523,-121.5574
US-xLE,NEON Lenoir Landing (LENO),16SCA,2018-10-01,2022-12-01,31.8539,-88.1612
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),16TFN,2018-10-01,2022-01-01,42.4423,-85.3301
US-JRn,WV Jacks Run,17SND,2018-10-01,2019-04-01,39.6789,-80.1646
US-Ses,Sevilleta shrubland,13SCU,2018-10-01,2024-01-01,34.3349,-106.7442
US-CF1,CAF-LTAR Cook East,11TMM,2018-10-01,2022-01-01,46.7815,-117.0821
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),13TDE,2018-10-01,2022-12-01,40.0543,-105.5824
US-xSC,NEON Smithsonian Conservation Biology Institute (SCBI),17SQD,2018-10-01,2022-12-01,38.8929,-78.1395
US-NR3,Niwot Ridge Alpine (T-Van West),13TDE,2018-10-01,2023-01-01,40.052,-105.5864
US-xDC,NEON Dakota Coteau Field School (DCFS),14TMT,2018-10-01,2022-12-01,47.1617,-99.1066
US-SRS,Santa Rita Savanna,12SWA,2018-10-01,2019-01-01,31.8173,-110.8508
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9245,-90.2475
US-Me6,Metolius Young Pine Burn,10TFQ,2018-10-01,2022-12-31,44.3233,-121.6078
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9409,-90.3177
US-SRM,Santa Rita Mesquite,12SWA,2018-10-01,2024-01-01,31.8214,-110.8661
US-MOz,Missouri Ozark Site,15SWC,2018-10-01,2022-01-01,38.7441,-92.2
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,17TQF,2019-01-01,2024-01-01,40.7559,-77.9998
US-CF4,CAF-LTAR Boyd South,11TMM,2018-10-01,2022-01-01,46.7518,-117.1285
US-PHM,Plum Island High Marsh,19TCH,2018-10-01,2021-01-01,42.7423,-70.8301
US-xTR,NEON Treehaven (TREE),15TYL,2018-10-01,2022-12-01,45.4937,-89.5857
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9749,-90.2327
US-ARM,ARM Southern Great Plains site- Lamont,14SPF,2018-10-01,2024-04-02,36.6058,-97.4888
US-xCL,NEON LBJ National Grassland (CLBJ),14SPC,2018-10-01,2022-12-01,33.4012,-97.57
US-CF2,CAF-LTAR Cook West,11TMM,2018-10-01,2021-01-12,46.784,-117.0908
US-Syv,Sylvania Wilderness Area,15TYM,2018-10-01,2024-01-01,46.242,-89.3477
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9271,-90.2475
US-Hn2,Hanford 100H grassland,10TGS,2018-10-01,2019-01-01,46.6889,-119.4641
US-xAB,NEON Abby Road (ABBY),10TER,2018-10-01,2022-12-01,45.7624,-122.3303
US-xSE,NEON Smithsonian Environmental Research Center (SERC),18SUJ,2018-10-01,2022-12-01,38.8901,-76.56
US-NC3,NC_Clearcut#3,18SUE,2018-10-01,2022-01-01,35.799,-76.656
US-xNQ,NEON Onaqui-Ault (ONAQ),12TUK,2018-10-01,2022-12-01,40.1776,-112.4524
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,17TQF,2019-01-01,2024-01-01,40.7536,-78.0056
US-DFK,Dairy Forage Research Center - Kernza,15TYJ,2018-10-01,2021-01-04,43.3453,-89.7154
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9197,-90.2288
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9619,-90.227
US-WCr,Willow Creek,15TYL,2018-10-01,2024-01-01,45.8059,-90.0799
US-CMW,Charleston Mesquite Woodland,12SWA,2018-10-01,2022-01-01,31.6637,-110.1777
US-Rws,Reynolds Creek Wyoming big sagebrush,11TNH,2018-10-01,2022-10-01,43.1675,-116.7132
US-CF3,CAF-LTAR Boyd North,11TMM,2018-10-01,2022-01-01,46.7551,-117.1261
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9365,-90.2641
US-Rms,RCEW Mountain Big Sagebrush,11TNH,2018-10-01,2022-10-01,43.0645,-116.7486
US-Hn3,Hanford 100H sagebrush,10TGS,2018-10-01,2019-01-01,46.6878,-119.4614
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9392,-90.2823
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",13TDE,2018-10-01,2022-12-01,40.2759,-105.5459
US-CC1,Coloma Corn 1,15TYJ,2021-01-01,2022-01-01,44.0732,-89.6787
US-BMM,Bangtail Mountain Meadow,12TWR,2018-10-01,2019-08-28,45.783,-110.7776
US-xJE,NEON Jones Ecological Research Center (JERC),16RGV,2018-10-01,2022-12-01,31.1948,-84.4686
US-NR4,Niwot Ridge Alpine (T-Van East),13TDE,2018-10-01,2023-01-01,40.052,-105.5859
US-NC2,NC_Loblolly Plantation,18SUE,2018-10-01,2024-01-01,35.803,-76.6685
US-Vcs,Valles Caldera Sulphur Springs Mixed Conifer,13SCV,2018-10-01,2024-01-01,35.9193,-106.6142
US-RGB,Butte County Rice Farm,10SEJ,2021-01-01,2023-09-28,39.5782,-121.8579
US-xCP,NEON Central Plains Experimental Range (CPER),13TEF,2018-10-01,2022-12-01,40.8155,-104.7456
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,15TYL,2019-01-01,2019-11-01,45.9149,-90.3425
US-UiB,University of Illinois Miscanthus,16TCK,2018-10-01,2022-01-01,40.0628,-88.1984
US-Vcm,Valles Caldera Mixed Conifer,13SCV,2018-10-01,2023-09-30,35.8884,-106.5321
