tower,name,latitude,longitude
US-Var,Vaira Ranch- Ione,38.4133,-120.9508
US-Mpj,Mountainair Pinyon-Juniper Woodland,34.4385,-106.2377
US-Tw4,Twitchell East End Wetland,38.1027,-121.6413
US-CF3,CAF-LTAR Boyd North,46.7551,-117.1261
US-CF1,CAF-LTAR Cook East,46.7815,-117.0821
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464
US-CF4,CAF-LTAR Boyd South,46.7518,-117.1285
US-xAB,NEON Abby Road (ABBY),45.7624,-122.3303
US-Vcp,Valles Caldera Ponderosa Pine,35.8642,-106.5967
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",40.2759,-105.5459
US-Ro4,Rosemount Prairie,44.6781,-93.0723
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469
US-xUK,NEON The University of Kansas Field Station (UKFS),39.0404,-95.1921
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078
US-Los,Lost Creek,46.0827,-89.9792
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),40.0543,-105.5824
US-WCr,Willow Creek,45.8059,-90.0799
US-NR3,Niwot Ridge Alpine (T-Van West),40.052,-105.5864
US-xDL,NEON Dead Lake (DELA),32.5417,-87.8039
US-xYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),44.9535,-110.5391
US-xJE,NEON Jones Ecological Research Center (JERC),31.1948,-84.4686
US-UMd,UMBS Disturbance,45.5625,-84.6975
US-xML,NEON Mountain Lake Biological Station (MLBS),37.3783,-80.5248
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),46.2339,-89.5373
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138
US-GLE,GLEES,41.3665,-106.2399
US-Syv,Sylvania Wilderness Area,46.242,-89.3477
US-xST,NEON Steigerwaldt Land Services (STEI),45.5089,-89.5864
US-xTR,NEON Treehaven (TREE),45.4937,-89.5857
US-CS2,Tri county school Pine Forest,44.1467,-89.5002
US-CF2,CAF-LTAR Cook West,46.784,-117.0908
CA-DB2,Delta Burns Bog 2,49.119,-122.9951
US-NC4,NC_AlligatorRiver,35.7879,-75.9038
US-ALQ,Allequash Creek Site,46.0308,-89.6067
US-ONA,Florida pine flatwoods,27.3836,-81.9509
US-xBL,NEON Blandy Experimental Farm (BLAN),39.0603,-78.0716
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,40.7536,-78.0056
US-Ha2,Harvard Forest Hemlock Site,42.5393,-72.1779
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",44.3167,-79.9333
US-NC2,NC_Loblolly Plantation,35.803,-76.6685
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),42.4423,-85.3301
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,40.7559,-77.9998
US-NC3,NC_Clearcut#3,35.799,-76.656
PR-xGU,NEON Guanica Forest (GUAN),17.9696,-66.8687
US-PHM,Plum Island High Marsh,42.7423,-70.8301
PR-xLA,NEON Lajas Experimental Station (LAJA),18.0212,-67.0769
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",43.3448,-89.7117
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,45.9749,-90.2327
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,45.9271,-90.2475
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,45.9689,-90.301